venue,title,event_type,date,hall,description,url,price
De Kleine Komedie,KETI KOTI,Cabaret,"wo 1 jul, 17.00 uur",De Kleine Komedie,Free Heri Heri For All,https://www.dekleinekomedie.nl/agenda/keti-koti-t84k,
De Kleine Komedie,BABS' KETI KOTI SALON,"MET GASTEN, VERHALEN VERTELLEN, ALLEEN IN DE KLEINE KOMEDIE","wo 1 jul, 19.30 uur",De Kleine Komedie,"Babs Gons & gasten (seizoen 25/26) - Poëzie en proza, monologen en muziek. Over ons koloniale verleden. Met gastvrouw Babs Gons en vele gasten.",https://www.dekleinekomedie.nl/agenda/babs-keti-koti-salon-rjrx,EUR 14.00
De Kleine Komedie,David van Rosmalen,Cabaret,"ma 14 dec, 20.15 uur",De Kleine Komedie,door de Volkskrant uitgeroepen tot Comedytalent van 2026 - Seizoen 2026/2027,https://www.dekleinekomedie.nl/agenda/david-van-rosmalen-1j75,
De Kleine Komedie,Wina Ricardo,Cabaret,"do 4 feb20.15 uur, t/m za 6 feb20.15 uur, 20.15 uur",De Kleine Komedie,door de Volkskrant uitgeroepen tot Comedytalent van 2026 - Seizoen 2026/2027,https://www.dekleinekomedie.nl/agenda/wina-ricardo-9cnx,
De Kleine Komedie,JADE MINTJENS,"MET LIEDJES, CABARET","wo 10 feb, 20.15 uur",De Kleine Komedie,Bedankt om te komen,https://www.dekleinekomedie.nl/agenda/jade-mintjens-12q6,
De Kleine Komedie,Marie Koet,Cabaret,"do 18 mrt20.15 uur, t/m za 20 mrt22.00 uur, 20.15 uur",De Kleine Komedie,door de Volkskrant uitgeroepen tot Comedytalent van 2026 - Seizoen 2026/2027,https://www.dekleinekomedie.nl/agenda/marie-koet-q8cd,
De Balie,Nationaal Gesprek over Vrijheid: Ahmed Marcouch,Nationaal Gesprek over Vrijheid,do 12 februari 2026,De Balie,"Studenten van het Rijn IJssel gaan in gesprek met de burgemeester van Arnhem Ahmed Marcouch over de betekenis van vrijheid, democratie en actief burgerschap.",https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-ahmed-marcouch-12-02-2026/,Gratis
De Balie,Kennismakers: wie redt de zorg?,Politiek & Democratie,"do 12 februari 2026, 19:30",De Balie,"Innovatie helpt om groeiende arbeidstekorten in de zorg het hoofd te bieden, maar wat betekent dit voor het sociale aspect? Komt menselijkheid in de zorg onder druk te staan?",https://debalie.nl/programma/kennismakers-wie-redt-de-zorg-12-02-2026/,Gratis
De Balie,Plein Publiek: Ted van Lieshout,Idee & Verbeelding,"vr 13 februari 2026, 17:30",De Balie,Al meer dan veertig jaar is Ted van Lieshout een eigenzinnige stem in de (kinder)literatuur. Naar aanleiding van het verschijnen van zijn autobiografie-in-beelden Wat heb jij gedaan om mij gelukkig te...,https://debalie.nl/programma/plein-publiek-ted-van-lieshout-13-02-2026/,Gratis
De Balie,The dark side of European solar panels in North-Africa,"Geopolitiek & Mensenrechten, Klimaat & duurzaamheid","vr 13 februari 2026, 19:30",De Balie,"Europe wants to become independent from fossil fuels and is feverishly searching for new sources of green energy. This quest is leading not only to wind farms and solar panels within the EU, but also ...",https://debalie.nl/programma/the-dark-side-of-european-solar-panels-in-north-africa-13-02-2026/,Gratis
De Balie,No Farewell to Arms: Europe’s defence challenge,Geopolitiek & Mensenrechten,"vr 13 februari 2026, 20:00",De Balie,"The international world order is being shaken up, and Europe’s place at the new table is far from certain. Russia’s war against Ukraine continues unabated. What security strategy should Europe pursue?",https://debalie.nl/programma/no-farewell-to-arms-europes-defence-challenge-13-02-2026/,Gratis
De Balie,"Piss Pool: over AI, oude lijven en digitale zelfvernieuwingscultuur","Leven & Tijdgeest, Idee & Verbeelding","za 14 februari 2026, 20:00",De Balie,"Wat betekent het om ouder te worden in een digitale wereld? In gesprek met denkers en kunstenaars naar aanleiding van PISS POOL, een baanbrekende theaterperformance die je instafeed in een ander licht...",https://debalie.nl/programma/piss-pool-over-ai-oude-lijven-en-digitale-zelfvernieuwingscultuur-14-02-2026/,Gratis
De Balie,Guy Verhofstadt: een nieuwe liberale democratie,Politiek & Democratie,"zo 15 februari 2026, 15:00",De Balie,"De democratie in het Westen wordt van binnenuit en van buitenaf onder druk gezet. In De burger in opstand schetst  Guy Verhofstadt, voormalig minister-president van België, een blauwdruk voor een nieu...",https://debalie.nl/programma/guy-verhofstadt-een-nieuwe-liberale-democratie-15-02-2026/,Gratis
De Balie,Ann Pettifor: Is the next financial crisis only a matter of time?,Politiek & Democratie,"ma 16 februari 2026, 20:00",De Balie,"Ann Pettifor accurately predicted the 2008 credit crisis with her book The Coming First World Debt Crisis. In her new book The Global Casino, Pettifor warns how offshore financial markets, operating w...",https://debalie.nl/programma/ann-pettifor-is-the-next-financial-crisis-only-a-matter-of-time-16-02-2026/,Gratis
De Balie,Zoals Alba de Céspedes het zag,Idee & Verbeelding,"di 17 februari 2026, 20:00",De Balie," Een avond over liefde, fascisme en literatuur",https://debalie.nl/programma/zoals-alba-de-cespedes-het-zag-17-02-2026/,Gratis
De Balie,Plein Publiek: Berend Sommer,Idee & Verbeelding,"vr 20 februari 2026, 17:30",De Balie,"Naar eigen zeggen wordt schrijven voor Berend Sommer met de jaren steeds lastiger. Vier jaar werkte hij aan De Reichenbachs, een roman over het verval van de Nederlandse middenklasse en de druk van de...",https://debalie.nl/programma/plein-publiek-berend-sommer-20-02-2026/,Gratis
De Balie,in getuigenis,"Idee & Verbeelding, Emancipatie & Identiteit","vr 20 februari 2026, 20:00",De Balie,Met Adelheid Roosen en Leendert Vooijce,https://debalie.nl/programma/in-getuigenis-20-02-2026/,Gratis
De Balie,Freedom Lecture: The Price of Activism,Geopolitiek & Mensenrechten,"za 21 februari 2026, 16:00",De Balie,"Three words on a t-shirt, thirty months in prison",https://debalie.nl/programma/freedom-lecture-the-price-of-activism-21-02-2026/,Gratis
De Balie,Blasphemy vs the State: Dissenting Women,Geopolitiek & Mensenrechten,"za 21 februari 2026, 19:00",De Balie,"At least 89 countries have laws against blasphemy. Blasphemy laws are a powerful instrument of state repression, not least directed at women. How does the relationship between religious dissent and st...",https://debalie.nl/programma/blasphemy-vs-the-state-dissenting-women-21-02-2026/,Gratis
De Balie,Concert: FarAvaz,Idee & Verbeelding,"za 21 februari 2026, 21:00",De Balie,Iranian singer and activist with music inspired by the Women Life Freedom movement,https://debalie.nl/programma/concert-faravaz-21-02-2026/,Gratis
De Balie,Imagining lran after the Mullahs,Geopolitiek & Mensenrechten,"zo 22 februari 2026, 15:00",De Balie,"Mass protests in Iran appeared to shake the Islamic regime. But the status quo is enforced, for now, through extreme violence. What is needed to bring about a free Iran?",https://debalie.nl/programma/imagining-lran-after-the-mullahs-22-02-2026/,Gratis
De Balie,The future of Ukrainian refugees in the Netherlands ,Emancipatie & Identiteit,"ma 23 februari 2026, 20:00",De Balie,"Since the grand-scale invasion of Ukraine, the Netherlands has received more than 130.000 of Ukrainian refugees. Their legal status allows them to work and go to school, but the majority lives in cris...",https://debalie.nl/programma/the-future-of-ukrainian-refugees-in-the-netherlands-23-02-2026/,Gratis
De Balie,Journalistiek theater: Gezocht: een paar vierkante meter! ,Politiek & Democratie,"di 24 februari 2026, 20:00:00",De Balie,In Ede,https://debalie.nl/programma/journalistiek-theater-gezocht-een-paar-vierkante-meter-3-24-02-2026/,Gratis
De Balie,Nationaal Gesprek over Vrijheid: Carola Schouten,Nationaal Gesprek over Vrijheid,wo 25 februari 2026,De Balie,"Studenten van het STC Rotterdam gaan in gesprek met de burgemeester van Rotterdam Carola Schouten over de betekenis van vrijheid, democratie en actief burgerschap.",https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-carola-schouten-25-02-2026/,Gratis
De Balie,Plein Publiek: Jeangu Macrooy,Idee & Verbeelding,"vr 27 februari 2026, 17:30",De Balie,"Jeangu Macrooy maakte indruk in de hitmusicals Jesus Christ Superstar en Hadestown. Afgelopen najaar kwam zijn zijn vierde studioalbum Young, Awkward & Lonely uit, een levenslustig coming-of-age-album...",https://debalie.nl/programma/plein-publiek-jeangu-macrooy-2-27-02-2026/,Gratis
De Balie,Acht jaar ‘kneiterlinks’ Amsterdam,Politiek & Democratie,"ma 2 maart 2026, 20:00",De Balie,"De afgelopen acht jaar werd Amsterdam bestuurd door coalities van PvdA, GroenLinks, D66 en SP. Daarmee loopt Amsterdam danig uit de pas met de rest van Nederland en de nationale politiek. Wat heeft ac...",https://debalie.nl/programma/acht-jaar-kneiterlinks-amsterdam-02-03-2026/,Gratis
De Balie,Caroline de Gruyter: Europeanen tussen oorlog en vrede,Geopolitiek & Mensenrechten,"di 3 maart 2026, 20:00",De Balie,Oorlog in Europa leek na de val van de muur voorgoed verleden tijd. Wat heeft tachtig jaar vrede gedaan met een ooit militaristisch continent? En wat betekent het om vrede niet langer voor lief te nem...,https://debalie.nl/programma/caroline-de-gruyter-europeanen-tussen-oorlog-en-vrede-03-03-2026/,Gratis
De Balie,Het gevaarlijke denken van Carl Schmitt,"Politiek & Democratie, Idee & Verbeelding","wo 4 maart 2026, 20:00",De Balie,"Hij was de 'kroonjurist van het Derde Rijk', toch kunnen we de ideeën van politiek filosoof Carl Schmitt niet zonder meer bij het grofvuil zetten. De bezwaren die hij had tegen de liberale democratie ...",https://debalie.nl/programma/het-gevaarlijke-denken-van-carl-schmitt-04-03-2026/,Gratis
De Balie,"Verkiezingsdebat: Amsterdam, de digitale stad","Politiek & Democratie, Leven & Tijdgeest","do 5 maart 2026, 20:00",De Balie,In aanloop naar de gemeenteraadsverkiezingen gaan politieke partijen in gesprek over Amsterdam als digitale stad.,https://debalie.nl/programma/verkiezingsdebat-amsterdam-de-digitale-stad-05-03-2026/,Gratis
De Balie,David Foster Wallace en de wereld van Eindeloos vertier,Idee & Verbeelding,"vr 6 maart 2026, 20:00",De Balie,Amusement dat zo verslavend is dat het mensen verlamt en vernietigt. Dat is het nachtmerriescenario dat David Foster Wallace dertig jaar geleden beschreef in zijn magnum opus Infinite Jest. Nu de lang...,https://debalie.nl/programma/naar-de-wereld-van-eindeloos-vertier-06-03-2026/,Gratis
De Balie,Behind the Opera: Theory of Flames,Idee & Verbeelding,"zo 8 maart 2026, 16:00:00",De Balie,"Wanneer wordt een geliefde een vreemde? En is een gedeelde realiteit daarvoor een voorwaarde? In de gloednieuwe film-opera Theory of Flames, onderzoekt componist Michel van der Aa deze, soms pijnlijke...",https://debalie.nl/programma/behind-the-opera-theory-of-flames-08-03-2026/,Gratis
De Balie,Nationaal Gesprek over Vrijheid: Marthyne Kunst,Nationaal Gesprek over Vrijheid,ma 9 maart 2026,De Balie,"Studenten van het Cibap Zwolle gaan in gesprek met de hoofdofficier van justitie in Oost-Nederland Marthyne Kunst over de betekenis van vrijheid, democratie en actief burgerschap.",https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-marthyne-kunst-09-03-2026/,Gratis
De Balie,"Verkiezingsdebat: Amsterdam, de sociale stad",Politiek & Democratie,"ma 9 maart 2026, 20:00",De Balie,"Steeds meer Amsterdammers doen een beroep op de gemeente om zorg – en lopen tegen jarenlange wachtrijen aan. Wat zijn de plannen van VVD, PvdA, D66, SP en CDA? Een debat over jeugdzorg, toegankelijkhe...",https://debalie.nl/programma/verkiezingsdebat-amsterdam-de-sociale-stad-09-03-2026/,Gratis
De Balie,De rechtsstaat onder druk – met Gijs Scholten van Aschat,Politiek & Democratie,"di 10 maart 2026, 20:00",De Balie,"Een muzikale theaterperformance over het functioneren van de rechtsstaat. Met Gijs Scholten van Aschat en muzikanten van de Hoge Raad die werken van Bach, Massenet en Hahn opvoeren.",https://debalie.nl/programma/de-rechtsstaat-onder-druk-met-gijs-scholten-van-aschat-10-03-2026/,Gratis
De Balie,Geen vrienden op de bergen na: het verhaal van de Koerden,Geopolitiek & Mensenrechten,"wo 11 maart 2026, 20:00",De Balie,MENA Voices,https://debalie.nl/programma/geen-vrienden-op-de-bergen-na-het-verhaal-van-de-koerden-11-03-2026/,Gratis
De Balie,"Muskism, capitalism according to Elon Musk",Geopolitiek & Mensenrechten,"zo 15 maart 2026, 11:00",De Balie,"Elon Musk stands for more than an individual billionaire; he stands for a system. In conversation with Ben Tarnoff and Quinn Slobodian, authors of Muskism: A Guide for the Perplexed.",https://debalie.nl/programma/muskism-capitalism-according-to-elon-musk-15-03-2026/,Gratis
De Balie,Arnon Grunberg meets Ruth Franklin,Idee & Verbeelding,"zo 15 maart 2026, 15:00",De Balie,Understanding Anne Frank,https://debalie.nl/programma/arnon-grunberg-meets-ruth-franklin-15-03-2026/,Gratis
De Balie,Slotdebat: kleine partijen,Politiek & Democratie,"ma 16 maart 2026, 17:00:00",De Balie,De Balie x Het Parool,https://debalie.nl/programma/slotdebat-kleine-partijen-2-16-03-2026/,Gratis
De Balie,Slotdebat: grote partijen,Politiek & Democratie,"ma 16 maart 2026, 20:00:00",De Balie,De Balie x Het Parool,https://debalie.nl/programma/slotdebat-grote-partijen-16-03-2026/,Gratis
De Balie,Reporting on Putin’s Private Army in Africa,Geopolitiek & Mensenrechten,"wo 18 maart 2026, 20:00",De Balie,"Philip Obaji Jr. has documented over a hundred atrocities committed by Russian mercenaries in Central Africa. In his Freedom Lecture, he will reflect on the dangers of exposing the truth in one of the...",https://debalie.nl/programma/reporting-on-putins-private-army-in-africa-18-03-2026/,Gratis
De Balie,Greenland and the New World Order,Geopolitiek & Mensenrechten,"do 19 maart 2026, 20:00",De Balie,About an inpredictable America and the future of Europe,https://debalie.nl/programma/greenland-and-the-new-world-order-19-03-2026/,Gratis
De Balie,Van crisis naar koers: over klimaatbeleid dat verder vooruit kijkt,"Politiek & Democratie, Klimaat & duurzaamheid","ma 23 maart 2026, 20:00",De Balie,Op deze avond gaan we in gesprek met experts en politici over hoe Nederland weer langetermijndenken kan laten gelden in haar klimaatbeleid en over de manieren waarop we beleid kunnen maken dat generat...,https://debalie.nl/programma/van-crisis-naar-koers-over-klimaatbeleid-dat-verder-vooruit-kijkt-23-03-2026/,Gratis
De Balie,Live Journalism: van klaslokaal naar thuiszitters,Emancipatie & Identiteit,"wo 25 maart 2026, 19:30",De Balie,Onze onderzoeksredactie nodigt je uit voor een open redactievergadering. Deel jouw ervaringen tijdens deze bijeenkomst in De Balie,https://debalie.nl/programma/live-journalism-van-klaslokaal-naar-thuiszitters-25-03-2026/,Gratis
De Balie,"Starten, groeien, innoveren: welke investeringen heeft Nederland nodig?",Politiek & Democratie,"vr 27 maart 2026, 20:00",De Balie,"‘Het is één voor twaalf voor de Nederlandse economie’, stelt het rapport-Wennink, dat miljardeninvesteringen in ons ondernemingsklimaat voorstelt. Is de situatie werkelijk zo nijpend? En wat is er nod...",https://debalie.nl/programma/starten-groeien-innoveren-welke-investeringen-heeft-nederland-nodig-27-03-2026/,Gratis
De Balie,Theatergroep de Kale: Quincampoix of de Windhandelaars,Idee & Verbeelding,"zo 29 maart 2026, 15:00",De Balie,Op zondagmiddag 29 maart organiseert Theatergroep De Kale een leesvoorstelling van Quincampoix of de Windhandelaars van Pieter Langendijk (1720).,https://debalie.nl/programma/theatergroep-de-kale-quincampoix-of-de-windhandelaars-29-03-2026/,Gratis
De Balie,Alkibiades: over democratie in verval,"Politiek & Democratie, Idee & Verbeelding","do 2 april 2026, 20:00",De Balie,Met o.a. Ilja Leonard Pfeijffer,https://debalie.nl/programma/alkibiades-over-democratie-in-verval-02-04-2026/,Gratis
De Balie,Is publieksfilosofie echt filosofie?,Idee & Verbeelding,"wo 15 april 2026, 20:00",De Balie,Welke rol heeft filosofie in het dagelijks leven? En in het publieke debat? Of is het zinloos om de zeer gespecialiseerde filosofie bedreven aan de universiteit te willen linken aan een maatschappelij...,https://debalie.nl/programma/is-publieksfilosofie-echt-filosofie-15-04-2026/,Gratis
De Balie,Nationaal Gesprek over Vrijheid: Roelien Kamminga,Nationaal Gesprek over Vrijheid,do 7 mei 2026,De Balie,"Studenten van het Noorderpoort Groningen gaan in gesprek met de burgemeester van Groningen Roelien Kamminga over de betekenis van vrijheid, democratie en actief burgerschap.",https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-roelien-kamminga-07-05-2026/,Gratis
Rode Hoed,Banning Lezing,Debat,"za 21 feb. 2026, 19:00",Rode Hoed,Door Haroon Sheikh,https://rodehoed.nl/programma/banning-lezing/,TBA
Rode Hoed,Gevangen in Palestina,Debat,"di 24 feb. 2026, 20:00",Rode Hoed,"met o.a. Nadia Moussaid, Michiel Servaes, Berber van der Woude",https://rodehoed.nl/programma/gevangen-in-palestina/,EUR 15
Rode Hoed,Bucketlist filosofie: Jürgen Habermas,"Filosofie, Journalistiek, media","ma 2 mrt. 2026, 20:00",Rode Hoed,Publiek debat in een digitaal tijdperk,https://rodehoed.nl/programma/bucketlist-habermas/,EUR 15
Rode Hoed,Concours de la Chanson 2026,"Chanson, Muziek","za 14 mrt. 2026, 20:00",Rode Hoed,Extern programma,https://rodehoed.nl/programma/concoursdelachanson-2/,EUR 22
Rode Hoed,Dienst zonder God,"Filosofie, Muziek, Zingen","do 19 mrt. 2026, 20:00",Rode Hoed,Begin van de lente,https://rodehoed.nl/programma/dienst-zonder-god-lente2026/,"EUR 17,50 [UITVERKOCHT]"
Rode Hoed,Michael Pollan: The Inner Republic,"Bewustzijn, Lezing, Wetenschap","di 24 mrt. 2026, 19:30",Rode Hoed,Consciousness and the Ties that Bind,https://rodehoed.nl/programma/michael-pollan/,EUR 25 [UITVERKOCHT]
Paradiso,YIN YIN,Concert,"do 12 feb. 2026, 00:00",Paradiso - Zaal onbekend,De mannen uit Maastricht zijn alweer toe aan hun vierde album dat 16 januari 2026 verschijnt. Met Yatta! slaat de band...,https://www.podiuminfo.nl/concert/441976/YIN-YIN/Paradiso/,EUR 27.20
Paradiso,Pedro Santos,Concert,"do 12 feb. 2026, 20:00",Paradiso - Bovenzaal,Pedro Santos is een Portugese singer-songwriter die vanuit het VK langzaam maar zeker zijn eigen plek verovert. Na zijn...,https://www.podiuminfo.nl/concert/447731/Pedro-Santos/Paradiso/,EUR 17.00
Paradiso,Blossoms,Concert,"vr 13 feb. 2026, 19:30",Paradiso - Grote Zaal,"Concert Blossoms in Paradiso, Amsterdam op vrijdag 13 februari 2026 met Blossoms",https://www.podiuminfo.nl/concert/425150/Blossoms/Paradiso/,EUR 33.30 [UITVERKOCHT]
Paradiso,Stay Away From Dante!,Concert,"vr 13 feb. 2026, 19:30",Paradiso - Bovenzaal,Muzikant uit Amsterdam-Zuidoost met een dromerige sound,https://www.podiuminfo.nl/concert/447445/Stay-Away-From-Dante!/Paradiso/,EUR 14.00 [UITVERKOCHT]
Paradiso,TLM Presents: Our Liminal Space,Concert,"vr 13 feb. 2026, 23:45",Paradiso - Grote Zaal,"LM is het trio bestaande uit de dj's Tjade, Lucky Done Gone en Moody Mehran met een geluid die varieert van 90’s...",https://www.podiuminfo.nl/concert/449373/TLM-Presents-Our-Liminal-Space/Paradiso/,EUR 34.30 [UITVERKOCHT]
Paradiso,bdrmm,Concert,"za 14 feb. 2026, 18:00",Paradiso - Grote Zaal,Het Britse viertal van de band bdrmm (uit te spreken als 'bedroom') bracht in 2020 hun debuutalbum 'Bedroom' uit die...,https://www.podiuminfo.nl/concert/450083/bdrmm/Paradiso/,EUR 23.20
Paradiso,Hayden Calnin,Concert,"za 14 feb. 2026, 20:30",Paradiso - Zaal onbekend,Filmische folk door Australische songwriter,https://www.podiuminfo.nl/concert/438677/Hayden-Calnin/Paradiso/,EUR 16.50
Paradiso,Kalinichta Xl,Concert,"za 14 feb. 2026, 23:59",Paradiso - Grote Zaal,LGBTQIA+ clubnacht met wereldse muziek,https://www.podiuminfo.nl/concert/448557/Kalinichta-Xl/Paradiso/,EUR 25.70
Paradiso,Magdalena Bay,Concert,"zo 15 feb. 2026, 19:30",Paradiso - Grote Zaal,"Magdalena Bay, het synthpopduo uit Los Angeles bestaande uit Mica Tenenbaum en Matthew Lewin. Hoewel het duo Californië...",https://www.podiuminfo.nl/concert/435477/Magdalena-Bay/Paradiso/,EUR 34.30 [UITVERKOCHT]
